@RELATION dset1

@ATTRIBUTE   llh_1 {2,1,20,27,37,43,47,58,68,74}
@ATTRIBUTE   llh_2 {1,2,20,43,58,68,74}
@ATTRIBUTE   class{1,2,20,27,37,43,47,58,68,74}
@DATA
2,2,20
2,20,2
2,20,20
2,2,2
2,2,2
2,2,20
2,2,43
2,2,74
2,2,20
2,20,43
20,43,20
20,43,68
68,43,20
43,20,1
43,20,68
1,43,1
1,43,2
1,43,68
43,2,20
2,20,74
74,43,1
74,43,58
74,43,68
1,43,2
43,2,58
2,58,2
58,2,2
2,2,58
2,58,2
58,2,68
43,1,1
43,1,68
43,68,37
74,74,1
74,74,68
1,43,1
43,74,74
20,74,68
74,2,2
2,2,1
2,1,43
20,43,2
2,43,74
74,43,2
2,74,68
68,74,74
68,74,74
43,74,1
1,43,47
74,2,20
20,74,74
74,74,2
43,74,1
43,43,58
58,43,68
74,74,58
74,1,1
2,74,1
74,74,43
74,74,68
74,1,20
74,2,2
74,2,58
2,58,20
68,74,68
68,43,47
47,74,2
47,74,20
43,74,58
43,74,68
74,74,68
43,68,68
1,74,58
1,74,68
58,74,20
20,43,58
43,74,43
43,58,68
74,74,43
43,43,74
2,74,2
74,2,68
74,74,68
68,74,58
68,74,68
74,43,68
74,43,20
43,68,68
74,74,27
74,1,20
74,43,20
43,2,68
2,68,20
43,74,43
43,43,47
74,74,68
74,74,74
74,43,68
2,74,20
43,74,68
74,68,68
43,68,74
74,43,58
74,74,58
74,2,2
74,2,74
43,43,20
43,1,20
1,74,68
68,43,1
68,43,2
68,2,20
74,1,20
1,20,68
74,2,20
20,74,68
